unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1735574400,PageView,888,0,0,0,0,888
1735578000,PageView,554,0,0,0,0,554
1735581600,PageView,69,0,0,0,0,69
1735585200,PageView,31,0,0,0,0,31
1735588800,PageView,203,0,0,0,0,203
1735592400,PageView,719,0,0,0,0,719
1735596000,PageView,338,0,0,0,0,338
1735599600,PageView,338,0,0,0,0,338
1735603200,PageView,129,0,0,0,0,129
1735606800,PageView,111,0,0,0,0,111
1735610400,PageView,49,0,0,0,0,49
1735614000,PageView,50,0,0,0,0,50
1735617600,PageView,24,0,0,0,0,24
1735621200,PageView,6,0,0,0,0,6
1735624800,PageView,568,0,0,0,0,568
1735628400,PageView,151,0,0,0,0,151
1735632000,PageView,499,0,0,0,0,499
1735635600,PageView,215,0,0,0,0,215
1735639200,PageView,168,0,0,0,0,168
1735642800,PageView,217,0,0,0,0,217
1735646400,PageView,280,0,0,0,0,280
1735650000,PageView,50,0,0,0,0,50
1735653600,PageView,24,0,0,0,0,24
1735657200,PageView,85,0,0,0,0,85
1735660800,PageView,387,0,0,0,0,387
1735664400,PageView,371,0,0,0,0,371
1735668000,PageView,263,0,0,0,0,263
1735671600,PageView,185,0,0,0,0,185
1735675200,PageView,228,0,0,0,0,228
1735678800,PageView,743,0,0,0,0,743
1735682400,PageView,214,0,0,0,0,214
1735686000,PageView,532,0,0,0,0,532
1735689600,PageView,80,0,0,0,0,80
1735693200,PageView,48,0,0,0,0,48
1735696800,PageView,53,0,0,0,0,53
1735700400,PageView,14,0,0,0,0,14
1735704000,PageView,15,0,0,0,0,15
1735707600,PageView,1,0,0,0,0,1
1735714800,PageView,1,0,0,0,0,1
1735725600,PageView,3,0,0,0,0,3
1735729200,PageView,1,0,0,0,0,1
1735732800,PageView,875,0,0,0,0,875
1735736400,PageView,848,0,0,0,0,848
1735740000,PageView,130,0,0,0,0,130
1735743600,PageView,37,0,0,0,0,37
1735747200,PageView,8,0,0,0,0,8
1735750800,PageView,3,0,0,0,0,3
1735754400,PageView,2,0,0,0,0,2
1735758000,PageView,757,0,0,0,0,757
1735761600,PageView,889,0,0,0,0,889
1735765200,PageView,789,0,0,0,0,789
1735768800,PageView,82,0,0,0,0,82
1735772400,PageView,216,0,0,0,0,216
1735776000,PageView,252,0,0,0,0,252
1735779600,PageView,267,0,0,0,0,267
