unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1736280000,Purchase,15,0,0,0,0,15
1736283600,Purchase,2,0,0,0,0,2
1736287200,Purchase,1,0,0,0,0,1
1736290800,Purchase,1,0,0,0,0,1
1736294400,Purchase,2,0,0,0,0,2
1736301600,Purchase,1,0,0,0,0,1
1736319600,Purchase,4,0,0,0,0,4
1736323200,Purchase,2,0,0,0,0,2
1736326800,Purchase,3,0,0,0,0,3
1736330400,Purchase,3,0,0,0,0,3
1736334000,Purchase,7,0,0,0,0,7
1736337600,Purchase,2,0,0,0,0,2
1736341200,Purchase,1,0,0,0,0,1
1736344800,Purchase,2,0,0,0,0,2
1736348400,Purchase,2,0,0,0,0,2
1736352000,Purchase,1,0,0,0,0,1
1736355600,Purchase,5,0,0,0,0,5
1736366400,Purchase,1,0,0,0,0,1
1736370000,Purchase,4,0,0,0,0,4
1736373600,Purchase,3,0,0,0,0,3
1736380800,Purchase,1,0,0,0,0,1
1736384400,Purchase,2,0,0,0,0,2
1736409600,Purchase,1,0,0,0,0,1
1736416800,Purchase,2,0,0,0,0,2
1736420400,Purchase,6,0,0,0,0,6
1736424000,Purchase,1,0,0,0,0,1
1736427600,Purchase,8,0,0,0,0,8
1736431200,Purchase,10,0,0,0,0,10
1736434800,Purchase,2,0,0,0,0,2
1736438400,Purchase,1,0,0,0,0,1
1736449200,Purchase,2,0,0,0,0,2
1736452800,Purchase,3,0,0,0,0,3
1736460000,Purchase,1,0,0,0,0,1
1736463600,Purchase,25,0,0,0,0,25
1736467200,Purchase,2,0,0,0,0,2
1736478000,Purchase,3,0,0,0,0,3
1736481600,Purchase,2,0,0,0,0,2
1736488800,Purchase,1,0,0,0,0,1
1736496000,Purchase,1,0,0,0,0,1
1736499600,Purchase,4,0,0,0,0,4
1736503200,Purchase,1,0,0,0,0,1
1736506800,Purchase,1,0,0,0,0,1
1736517600,Purchase,2,0,0,0,0,2
1736521200,Purchase,9,0,0,0,0,9
1736524800,Purchase,6,0,0,0,0,6
1736528400,Purchase,2,0,0,0,0,2
1736532000,Purchase,1,0,0,0,0,1
1736535600,Purchase,6,0,0,0,0,6
1736539200,Purchase,3,0,0,0,0,3
1736542800,Purchase,4,0,0,0,0,4
1736546400,Purchase,1,0,0,0,0,1
1736550000,Purchase,9,0,0,0,0,9
1736553600,Purchase,1,0,0,0,0,1
1736557200,Purchase,3,0,0,0,0,3
1736560800,Purchase,2,0,0,0,0,2
1736564400,Purchase,5,0,0,0,0,5
1736568000,Purchase,6,0,0,0,0,6
1736575200,Purchase,2,0,0,0,0,2
1736578800,Purchase,13,0,0,0,0,13
